transaction_id,rule_key,rule_label,rule_score,risk_reason
TXN00023423,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-10594 paid more than once to Ruixin Services (Shenzhen) Co., Ltd."
TXN90000040,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-10594 paid more than once to Ruixin Services (Shenzhen) Co., Ltd."
TXN00007177,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-92989 paid more than once to Dynamic Industrial (Guangzhou) Co., Ltd."
TXN90000041,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-92989 paid more than once to Dynamic Industrial (Guangzhou) Co., Ltd."
TXN00013321,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-72350 paid more than once to Delta Services (Guangzhou) Co., Ltd."
TXN90000035,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-72350 paid more than once to Delta Services (Guangzhou) Co., Ltd."
TXN00016646,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-98527 paid more than once to Everest Industrial Holdings
TXN00004761,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-26175 paid more than once to Wanhe Logistics (Shanghai) Co., Ltd."
TXN90000015,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-98527 paid more than once to Everest Industrial Holdings
TXN90000026,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-26175 paid more than once to Wanhe Logistics (Shanghai) Co., Ltd."
TXN00016682,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-85274 paid more than once to Jinlong Packaging Holdings
TXN00026190,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-68723 paid more than once to Hanwei Media (Guangzhou) Co., Ltd."
TXN90000022,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-68723 paid more than once to Hanwei Media (Guangzhou) Co., Ltd."
TXN90000009,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-85274 paid more than once to Jinlong Packaging Holdings
TXN00021439,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-89090 paid more than once to Hanwei Electronics Holdings
TXN90000003,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-89090 paid more than once to Hanwei Electronics Holdings
TXN00011532,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-29577 paid more than once to Dynamic Systems (Beijing) Co., Ltd."
TXN00019925,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-60724 paid more than once to Kaiyuan Technology (Guangzhou) Co., Ltd."
TXN90000034,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-60724 paid more than once to Kaiyuan Technology (Guangzhou) Co., Ltd."
TXN90000047,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-29577 paid more than once to Dynamic Systems (Beijing) Co., Ltd."
TXN00003281,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-25127 paid more than once to Sunrise Services Holdings
TXN00029598,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-37781 paid more than once to Apex Packaging Holdings
TXN90000018,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-25127 paid more than once to Sunrise Services Holdings
TXN00021740,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-97644 paid more than once to Kunlun Packaging Co., Ltd."
TXN00023913,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-80254 paid more than once to Cathay Materials Group
TXN90000008,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-97644 paid more than once to Kunlun Packaging Co., Ltd."
TXN90000042,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-80254 paid more than once to Cathay Materials Group
TXN00017648,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-68334 paid more than once to Orient Consulting (Shenzhen) Co., Ltd."
TXN90000005,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-37781 paid more than once to Apex Packaging Holdings
TXN90000045,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-68334 paid more than once to Orient Consulting (Shenzhen) Co., Ltd."
TXN00026617,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-80056 paid more than once to Everest Industrial Holdings
TXN00001859,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-57834 paid more than once to Tianhe Industrial (Guangzhou) Co., Ltd."
TXN90000001,duplicate_payment,Duplicate Payment,1.0,Duplicate payment: invoice INV-2024-80056 paid more than once to Everest Industrial Holdings
TXN90000039,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-57834 paid more than once to Tianhe Industrial (Guangzhou) Co., Ltd."
TXN00001300,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-74366 paid more than once to Zenith Services Co., Ltd."
TXN90000010,duplicate_payment,Duplicate Payment,1.0,"Duplicate payment: invoice INV-2024-74366 paid more than once to Zenith Services Co., Ltd."
