review_order,transaction_id,selection_route,selection_reason,random_inclusion_probability,random_sampling_weight,transaction_date,vendor_id,debit_amount,audit_risk_score,risk_level,rule_keys,risk_reason_text,review_outcome,evidence_reference,reviewer_notes
1,TXN00002899,rule_coverage,"Covers procedures: Large Round Amount, Unusual Vendor, Weekend / Holiday Posting",,,2025-03-09,V00051,1250000,82.74,Critical,large_round_amount; unusual_vendor; weekend_posting,"Unusual vendor (Nordic Materials (Shanghai) Co., Ltd.): vendor registered less than 90 days before the payment; amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Posted on Sunday - 2025-03-09 is outside the normal working week; Isolation Forest anomaly (score 0.947, rank 3 of 30,128); Vendor risk 61/100 for Nordic Materials (Shanghai) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
2,TXN80003801,rule_coverage,"Covers procedures: Split Transaction, Suspicious Description",,,2025-05-05,V00041,48208.86,59.64,Medium,split_transaction; suspicious_description; weekend_posting,"Split payment: 2 payments to the same vendor on the same day, each just below the CNY 50,000 approval threshold (combined CNY 96669.63); Suspicious description: narration is missing entirely; Posted on Monday (public holiday) - 2025-05-05 is outside the normal working week; Isolation Forest anomaly (score 0.698, rank 340 of 30,128); Amount sits just below the CNY 50,000 approval threshold",,,
3,TXN00022738,rule_coverage,Covers procedures: Self Approval,,,2024-12-25,V00344,1000000,73.71,High,large_round_amount; self_approval; unusual_vendor,"Self approval: voucher raised and approved by the same employee (E0054) - segregation of duties breach; Unusual vendor (Hanwei Engineering Group): amount is more than 8x this vendor's average payment; Large round amount: CNY 1000000.0 sits in the top 2.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.819, rank 62 of 30,128); Amount CNY 1,000,000.00 is above the 97.5th percentile of the ledger",,,
4,TXN00001164,rule_coverage,Covers procedures: Rapid Payment,,,2024-10-08,V00042,1250000,73.64,High,large_round_amount; rapid_payment; unusual_vendor,"Unusual vendor (Northwind Automation (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Rapid payment: settled 3.6 hours after the invoice arrived (normal supplier terms are 30-60 days); Isolation Forest anomaly (score 0.756, rank 162 of 30,128); Vendor risk 46/100 for Northwind Automation (Shanghai) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
5,TXN90000010,rule_coverage,Covers procedures: Duplicate Payment,,,2024-07-22,V00304,1250000,73.57,High,duplicate_payment; large_round_amount; unusual_vendor,"Duplicate payment: invoice INV-2024-74366 paid more than once to Zenith Services Co., Ltd.; Unusual vendor (Zenith Services Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.734, rank 218 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
6,TXN00015745,rule_coverage,Covers procedures: Rare Account Usage,,,2024-05-06,V00173,1250000,69.14,High,large_round_amount; rare_account_usage,"Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Rare account usage: posted to 1405 (库存商品 Finished goods), used by only 0.03% of vouchers and atypical for this business process; Isolation Forest anomaly (score 0.947, rank 2 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
7,TXN00026714,risk_priority,Risk score 76.66/100,,,2024-12-30,V00160,2000000,76.66,High,large_round_amount; unusual_vendor,"Unusual vendor (Xinrun Consulting (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 1.000, rank 1 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
8,TXN00025071,risk_priority,Risk score 75.78/100,,,2025-03-17,V00262,1250000,75.78,High,large_round_amount; unusual_vendor,"Unusual vendor (Jinlong Consulting Co., Ltd.): vendor registered less than 90 days before the payment; amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.846, rank 37 of 30,128); Vendor risk 46/100 for Jinlong Consulting Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
9,TXN00003501,risk_priority,Risk score 74.53/100,,,2025-02-05,V00320,2000000,74.53,High,large_round_amount; unusual_vendor,"Unusual vendor (Yongsheng Automation (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.925, rank 8 of 30,128); Vendor risk 53/100 for Yongsheng Automation (Beijing) Co., Ltd.; Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
10,TXN00008993,risk_priority,Risk score 74.37/100,,,2025-11-12,V00372,1250000,74.37,High,large_round_amount; unusual_vendor,"Unusual vendor (Bright Packaging (Shenzhen) Co., Ltd.): vendor registered less than 90 days before the payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.848, rank 35 of 30,128); Vendor risk 57/100 for Bright Packaging (Shenzhen) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
