transaction_id,transaction_date,posting_date,vendor_id,vendor_name,account_code,account_name,debit_amount,department,description,created_by,approved_by,audit_risk_score,risk_level,rule_alert_count,anomaly_score,ml_anomaly_flag,risk_reason_text
TXN00002899,2025-03-09,2025-03-10,V00051,"Nordic Materials (Shanghai) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Vendor settlement Nordic Materials (Shanghai) Co., Ltd. / INV-380536",E0043,E0002,82.74,Critical,3,0.94687,True,"Unusual vendor (Nordic Materials (Shanghai) Co., Ltd.): vendor registered less than 90 days before the payment; amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Posted on Sunday - 2025-03-09 is outside the normal working week; Isolation Forest anomaly (score 0.947, rank 3 of 30,128); Vendor risk 61/100 for Nordic Materials (Shanghai) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00026714,2024-12-30,2024-12-30,V00160,"Xinrun Consulting (Shenzhen) Co., Ltd.",660205,管理费用-咨询费 Consulting fees,2000000.0,Operations,"Consulting services from Xinrun Consulting (Shenzhen) Co., Ltd. - contract 98682",E0094,E0092,76.66,High,2,1.0,True,"Unusual vendor (Xinrun Consulting (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 1.000, rank 1 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00025071,2025-03-17,2025-03-17,V00262,"Jinlong Consulting Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Payment to Jinlong Consulting Co., Ltd. for invoice INV-987148",E0133,E0092,75.78,High,2,0.846304,True,"Unusual vendor (Jinlong Consulting Co., Ltd.): vendor registered less than 90 days before the payment; amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.846, rank 37 of 30,128); Vendor risk 46/100 for Jinlong Consulting Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00003501,2025-02-05,2025-02-05,V00320,"Yongsheng Automation (Beijing) Co., Ltd.",1403,原材料 Raw materials,2000000.0,Procurement,Goods receipt against PO85836,E0107,E0033,74.53,High,2,0.92494,True,"Unusual vendor (Yongsheng Automation (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.925, rank 8 of 30,128); Vendor risk 53/100 for Yongsheng Automation (Beijing) Co., Ltd.; Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00008993,2025-11-12,2025-11-12,V00372,"Bright Packaging (Shenzhen) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Settlement of Bright Packaging (Shenzhen) Co., Ltd. invoice INV-157758",E0056,E0134,74.37,High,2,0.848077,True,"Unusual vendor (Bright Packaging (Shenzhen) Co., Ltd.): vendor registered less than 90 days before the payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.848, rank 35 of 30,128); Vendor risk 57/100 for Bright Packaging (Shenzhen) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00012581,2024-08-05,2024-08-05,V00232,"Zenith Facilities Co., Ltd.",660205,管理费用-咨询费 Consulting fees,2000000.0,Operations,"Advisory fee to Zenith Facilities Co., Ltd.",E0118,E0092,74.25,High,2,0.917437,True,"Unusual vendor (Zenith Facilities Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.917, rank 12 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger"
TXN00020265,2024-01-14,2024-01-14,V00129,"Everest Services (Shenzhen) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Settlement of Everest Services (Shenzhen) Co., Ltd. invoice INV-984865",E0133,E0114,73.85,High,3,0.888936,True,"Unusual vendor (Everest Services (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Posted on Sunday - 2024-01-14 is outside the normal working week; Isolation Forest anomaly (score 0.889, rank 18 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN00022738,2024-12-25,2024-12-25,V00344,Hanwei Engineering Group,1403,原材料 Raw materials,1000000.0,Procurement,Material procurement from Hanwei Engineering Group - PO63104,E0054,E0054,73.71,High,3,0.818829,True,"Self approval: voucher raised and approved by the same employee (E0054) - segregation of duties breach; Unusual vendor (Hanwei Engineering Group): amount is more than 8x this vendor's average payment; Large round amount: CNY 1000000.0 sits in the top 2.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.819, rank 62 of 30,128); Amount CNY 1,000,000.00 is above the 97.5th percentile of the ledger"
TXN00001164,2024-10-08,2024-10-08,V00042,"Northwind Automation (Shanghai) Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Payment to Northwind Automation (Shanghai) Co., Ltd. for invoice INV-996905",E0005,E0089,73.64,High,3,0.756362,True,"Unusual vendor (Northwind Automation (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Rapid payment: settled 3.6 hours after the invoice arrived (normal supplier terms are 30-60 days); Isolation Forest anomaly (score 0.756, rank 162 of 30,128); Vendor risk 46/100 for Northwind Automation (Shanghai) Co., Ltd.; Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
TXN90000010,2024-07-22,2024-07-23,V00304,"Zenith Services Co., Ltd.",2202,应付账款 Accounts payable,1250000.0,Finance,"Bank transfer to Zenith Services Co., Ltd. - invoice INV-534327",E0099,E0009,73.57,High,3,0.733913,True,"Duplicate payment: invoice INV-2024-74366 paid more than once to Zenith Services Co., Ltd.; Unusual vendor (Zenith Services Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.734, rank 218 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger"
